year,sex,city,longitude,latitude,wing length,body mass,body size index,urbanization,annual temperature,annual precipitation
2015,Male,Shenyang,123.5257,41.80823,115.8333333,14.06,-0.115584572,51,8.83,54.12
2015,Male,Shenyang,123.5257,41.80823,117.1666667,15.27,-0.042244065,51,8.83,54.12
2015,Female,Shenyang,123.5257,41.80823,113.1666667,14.56,-0.061886377,51,8.83,54.12
2015,Female,Shenyang,123.5257,41.80823,114.8333333,16.66,0.061073857,51,8.83,54.12
2015,Male,Shenyang,123.5257,41.80823,116.3333333,14.71,-0.073859193,51,8.83,54.12
2015,Female,Shenyang,123.5257,41.80823,115.6666667,15.74,-0.001553799,51,8.83,54.12
2015,Female,Shenyang,123.5257,41.80823,115.8333333,18.52,0.159932771,51,8.83,54.12
2015,Female,Shenyang,123.5257,41.80823,114.5,16.32,0.042795311,51,8.83,54.12
2015,Male,Shenyang,123.5257,41.80823,116.8333333,14.26,-0.108381706,51,8.83,54.12
2015,Female,Shenyang,123.5257,41.80823,109,13.17,-0.132016243,51,8.83,54.12
2015,Male,Shenyang,123.5257,41.80823,110,13.64,-0.10430472,51,8.83,54.12
2015,Female,Shenyang,123.5318,41.81077,112,15.9,0.034498962,42,8.8,54.07
2015,Male,Shenyang,123.5318,41.81077,113.3333333,14.56,-0.063071388,42,8.8,54.07
2015,Female,Shenyang,123.5318,41.81077,115.5,16.79,0.064185519,42,8.8,54.07
